P:N1,P:N2,净利润,年化收益率%
34,5,3193587.55,274.82
34,6,3193587.55,274.82
34,7,3193587.55,274.82
34,8,3158605.05,271.81
34,9,3127570.57,269.14
34,10,3147053.35,270.82
34,11,1136352.35,97.79
34,12,1814479.1,156.14
34,13,1814479.1,156.14
34,14,1814479.1,156.14
34,15,1814479.1,156.14
34,16,1814479.1,156.14
34,17,1814479.1,156.14
34,18,1814479.1,156.14
34,19,1814479.1,156.14
34,20,1814479.1,156.14
34,21,1814479.1,156.14
34,22,1814479.1,156.14
34,23,1719949.55,148.01
34,24,1895805.8,163.14
34,25,1895805.8,163.14
34,26,1895805.8,163.14
34,27,1434639.48,123.46
34,28,1199744,103.24
34,29,1199744,103.24
34,30,1199744,103.24
34,31,1199744,103.24
34,32,1199744,103.24
34,33,18429.53,0
34,34,0,0
34,35,18429.53,1.78
34,36,176663.42,16.67
34,37,351078,32.73
34,38,47371.4,4.52
34,39,-153884,-15.06
34,40,-262615.75,-26.93
34,41,0,0
34,42,0,0
34,43,0,0
34,44,0,0
34,45,0,0
34,46,0,0
34,47,0,0
34,48,0,0
34,49,0,0
34,50,0,0
33,1,0,0
33,2,-1598495.2,-150.92
33,3,739461.05,69.81
33,4,739461.05,69.81
33,5,3193587.55,274.82
33,6,3193587.55,274.82
33,7,3158605.05,271.81
33,8,3158605.05,271.81
33,9,3210021.85,276.24
33,10,3147053.35,270.82
33,11,3279474.1,282.21
33,12,1814479.1,156.14
33,13,1814479.1,156.14
33,14,1814479.1,156.14
33,15,1814479.1,156.14
33,16,1814479.1,156.14
33,17,2310456.9,198.82
33,18,1814479.1,156.14
33,19,1814479.1,156.14
33,20,1814479.1,156.14
33,21,1814479.1,156.14
33,22,1814479.1,156.14
33,23,1719949.55,148.01
33,24,1895805.8,163.14
33,25,1895805.8,163.14
33,26,1895805.8,163.14
33,27,1434639.48,123.46
33,28,1199744,103.24
33,29,1199744,103.24
33,30,1199744,103.24
33,31,1199744,103.24
33,32,1199744,103.24
33,33,0,0
33,34,423291.5,39
33,35,18429.53,1.78
33,36,176663.42,16.67
33,37,351078,32.73
33,38,47371.4,4.52
33,39,-153884,-15.06
33,40,-262615.75,-26.93
33,41,0,0
33,42,0,0
33,43,0,0
33,44,0,0
33,45,0,0
33,46,0,0
33,47,0,0
33,48,0,0
33,49,0,0
33,50,0,0
32,1,0,0
